net,length_um
net8,90.76
_056_,88.74
_061_,88.015
net4,87.97
_058_,79.39
_048_,78.98
net7,77.92
_049_,76.58
_063_,75.605
net3,74.76
_053_,74.505
net9,63.65
_078_,62.905
net6,62.04
net15,61.94
net2,60.6
net12,58.82
net1,58.205
net5,54.88
_071_,53.8
net19,52.68
net27,51.9
net17,51.7
net14,49.61
net30,47.86
net25,44.68
net11,42.84
net20,42.38
net10,40.26
_074_,39.76
net13,37.96
net18,35.95
_069_,35.7
net23,32.32
net26,32.3
_113_,32.02
_006_,30.94
_052_,23.76
_098_,23.14
net22,23.06
a[1],22.76
net24,22.06
net21,21.28
_034_,19.98
_095_,19.26
net29,17.6
_091_,17.14
b[7],17
_014_,16.8
_024_,16.16
result[7],15.95
_004_,15.78
_040_,15.72
_046_,15.6
net16,15.52
_012_,15.2
_067_,14.82
b[6],14.58
_114_,14.34
b[5],14.1
_081_,13.82
_080_,12.96
_100_,12.7
_025_,12.5
b[3],12.21
_023_,12.16
_038_,11.98
result[4],11.92
result[5],11.7
_045_,11.58
_084_,11.42
a[7],11.34
_031_,11.26
_103_,11.24
_032_,11.22
_076_,11.12
_097_,11.12
a[4],10.88
a[5],10.88
b[2],10.88
_111_,10.82
_005_,10.8
result[2],10.75
result[0],10.68
_037_,10.5
_035_,10.14
_066_,10.12
_093_,10.04
_082_,10
_009_,9.92
net28,9.52
_079_,9.32
_036_,9.04
_087_,9.04
_065_,8.88
a[2],8.87
_101_,8.845
a[0],8.81
b[0],8.72
op[0],8.72
op[1],8.72
_008_,8.48
_029_,8.3
b[4],8.13
_011_,8.12
_073_,7.94
_064_,7.78
_085_,7.68
_003_,7.52
_077_,7.52
_001_,7.44
_102_,7.4
_007_,7.115
_051_,7.1
_000_,6.66
_015_,6.66
_021_,6.64
_072_,6.62
zero,6.43
_096_,6.18
_020_,6.14
a[6],5.63
_041_,5.62
_026_,5.34
_106_,5.34
op[2],4.95
result[6],4.95
_060_,4.82
_017_,4.8
_043_,4.8
_112_,4.8
_050_,4.68
_083_,4.68
_062_,4.56
_018_,4.46
_110_,4.46
_055_,4.34
result[1],4.27
_002_,4.22
_068_,4.17
_047_,4.1
_054_,4.1
a[3],3.93
b[1],3.93
result[3],3.93
_108_,3.76
_022_,3.74
_089_,3.74
_092_,3.54
_088_,3.42
_086_,3.22
_028_,3.18
_044_,3.1
_016_,3.08
_030_,3.08
_075_,3.08
_070_,2.98
_010_,2.96
_090_,2.96
_107_,2.52
_019_,2.5
_059_,2.28
_013_,2.16
_104_,2.16
_105_,2.16
_094_,2.06
_099_,2.04
_039_,1.84
_057_,1.84
_109_,1.82
_027_,1.48
_033_,1.38
_042_,0.46
